station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,territory_name,wmo_region
OCNA SUGATAG,0-20000-0-15015,15015,Land (fixed),47.77706163,23.94046026,503,Romania,VI
BOTOSANI,0-20000-0-15020,15020,Land (fixed),47.73565324,26.64555017,161,Romania,VI
IASI,0-20000-0-15090,15090,Land (fixed),47.16333333,27.62722222,74.29,Romania,VI
CEAHLAU TOACA,0-20000-0-15108,15108,Land (fixed),46.97751,25.94993997,1897,Romania,VI
CLUJ-NAPOCA,0-20000-0-15120,15120,Land (fixed),46.7777705,23.57130529,410,Romania,VI
BACAU,0-20000-0-15150,15150,Land (fixed),46.55777778,26.89666667,174,Romania,VI
MIERCUREA CIUC,0-20000-0-15170,15170,Land (fixed),46.37131666,25.77261668,661,Romania,VI
ARAD,0-20000-0-15200,15200,Land (fixed),46.1335164,21.35362152,116.59,Romania,VI
DEVA,0-20000-0-15230,15230,Land (fixed),45.86492301,22.89880624,240,Romania,VI
SIBIU,0-20000-0-15260,15260,Land (fixed),45.79018,24.036245,450,Romania,VI
VARFU OMU,0-20000-0-15280,15280,Land (fixed),45.4457928,25.45669098,2504,Romania,VI
CARANSEBES,0-20000-0-15292,15292,Land (fixed),45.41667,22.22917,241,Romania,VI
GALATI,0-20000-0-15310,15310,Land (fixed),45.47291814,28.03230106,69,Romania,VI
TULCEA,0-20000-0-15335,15335,Land (fixed),45.19050648,28.82416076,4.36,Romania,VI
RAMNICU VALCEA,0-20000-0-15346,15346,Land (fixed),45.08882112,24.36281391,237,Romania,VI
BUZAU,0-20000-0-15350,15350,Land (fixed),45.13266329,26.85173192,97,Romania,VI
SULINA,0-20000-0-15360,15360,Land (fixed),45.1623111,29.7268286,69,Romania,VI
DROBETA-TURNU SEVERIN,0-20000-0-15410,15410,Land (fixed),44.6264587,22.62607371,77,Romania,VI
BUCURESTI BANEASA,0-20000-0-15420,15420,Land (fixed),44.510433,26.07819041,90,Romania,VI
CRAIOVA,0-20000-0-15450,15450,Land (fixed),44.31014043,23.86698474,192,Romania,VI
CALARASI,0-20000-0-15460,15460,Land (fixed),44.20573853,27.33830807,18.72,Romania,VI
ROSIORII DE VEDE,0-20000-0-15470,15470,Land (fixed),44.10721334,24.97874007,102.15,Romania,VI
CONSTANTA,0-20000-0-15480,15480,Land (fixed),44.21381439,28.64556468,12.8,Romania,VI
